EVI,NDVI,date,gid,name
2592.735252392092,4694.998785367079,2000-10-15T00:00:00,12,S
3095.0396051603843,5633.155166374562,2000-10-15T00:00:00,13,T
2137.246076505668,4056.3744888325423,2000-10-15T00:00:00,14,K/W
2918.0843420628357,5216.691657143535,2000-10-15T00:00:00,15,R/N
2655.50610873106,4800.7649360431315,2000-10-15T00:00:00,16,M/E
2297.464558920552,4075.952066686708,2000-10-15T00:00:00,17,M/W
1943.7041548562108,3532.170862954734,2000-10-15T00:00:00,18,H/E
2249.734791693424,3966.7245346886266,2000-10-15T00:00:00,19,K/E
3085.487286470801,5301.606890522489,2000-10-15T00:00:00,20,P/S
2702.7427085787376,5036.490064325391,2000-10-15T00:00:00,21,P/N
789.7440168046028,2750.322926618769,2000-10-31T00:00:00,1,A
660.6056447591541,1950.9133357161231,2000-10-31T00:00:00,2,B
823.3080110062732,2020.5328214689441,2000-10-31T00:00:00,3,C
1334.1491836433447,3373.7625779830933,2000-10-31T00:00:00,4,D
992.7252801454117,2474.979519835229,2000-10-31T00:00:00,5,E
1161.640030115831,2602.881825842897,2000-10-31T00:00:00,6,F/S
1208.2365069488174,3205.6164739911787,2000-10-31T00:00:00,7,G/S
1474.9696496623017,2909.99578772632,2000-10-31T00:00:00,8,F/N
1232.3613827057538,2781.5471930786243,2000-10-31T00:00:00,9,G/N
1902.9882776261775,3937.7533403573852,2000-10-31T00:00:00,10,N
2695.173707232614,5094.573997048079,2000-10-31T00:00:00,11,R/C
